ProductId,TotalQuantity,Quantity,CreatedDate,CustomerId
14,29,609.60,2021-04-15 10:45:26.000,4
36,1,69.20,2021-05-14 08:29:58.000,16
45,2,397.00,2021-05-15 08:12:41.000,35
8,1,19.60,2023-01-30 08:14:56.000,21
45,80,1644.60,2023-02-03 08:00:24.000,2
45,98,2008.20,2023-02-03 08:00:33.000,2
11,18,371.70,2023-02-04 08:02:52.000,25
11,18,371.10,2023-02-04 08:02:55.000,25
164,14,282.70,2023-02-04 08:03:58.000,28
164,28,563.50,2023-02-04 08:04:00.000,28
45,80,1632.50,2023-02-04 08:04:51.000,2
28,15,317.40,2023-02-04 11:34:49.000,16
45,16,340.20,2023-02-04 11:41:52.000,9
45,16,339.90,2023-02-04 11:41:57.000,9
45,16,340.20,2023-02-04 11:42:02.000,9
164,34,700.40,2023-02-05 08:11:05.000,1
164,34,696.10,2023-02-05 08:11:07.000,1
164,32,658.50,2023-02-05 08:11:10.000,1
8,18,353.70,2023-02-05 08:12:26.000,21
8,18,352.10,2023-02-05 08:12:31.000,21
8,18,352.70,2023-02-05 08:12:38.000,21
8,18,353.60,2023-02-05 08:12:46.000,21
8,18,353.70,2023-02-05 08:12:54.000,21
164,15,308.00,2023-02-05 08:19:47.000,10
164,15,308.50,2023-02-05 08:19:49.000,10
5,14,270.30,2023-02-05 08:49:30.000,4
5,14,270.10,2023-02-05 08:49:33.000,4
26,32,693.40,2023-02-05 08:52:53.000,9
46,14,310.40,2023-02-05 08:53:32.000,9
46,32,728.70,2023-02-05 08:53:37.000,9
45,32,654.30,2023-02-05 10:00:07.000,2
22,36,713.50,2023-02-05 10:01:23.000,15
165,15,264.30,2023-02-06 07:42:11.000,82
165,15,262.70,2023-02-06 07:42:15.000,82
5,16,291.00,2023-02-06 07:42:26.000,82
5,16,313.10,2023-02-06 07:42:29.000,82
6,18,367.10,2023-02-06 07:42:32.000,82
33,20,404.90,2023-02-06 07:43:30.000,21
8,35,683.80,2023-02-06 07:43:40.000,21
8,18,362.20,2023-02-06 07:43:48.000,21
164,15,307.00,2023-02-06 08:40:32.000,10
164,15,306.60,2023-02-06 08:40:34.000,10
12,32,711.30,2023-02-06 08:41:22.000,9
5,16,333.40,2023-02-06 08:42:02.000,1
5,14,271.10,2023-02-06 08:42:41.000,4
45,139,2842.90,2023-02-06 08:45:30.000,2
164,34,717.20,2023-02-06 09:18:15.000,167
164,34,713.60,2023-02-06 09:18:17.000,167
164,31,648.20,2023-02-06 09:18:20.000,167
45,90,1832.60,2023-02-06 12:15:32.000,2
45,16,325.40,2023-02-06 12:15:38.000,2
45,16,327.10,2023-02-06 12:15:48.000,2
45,16,326.90,2023-02-06 12:15:52.000,2
45,16,324.20,2023-02-06 13:01:28.000,2
45,16,342.60,2023-02-06 13:02:36.000,9
45,16,340.00,2023-02-06 13:02:40.000,9
164,28,566.80,2023-02-06 13:03:18.000,28
8,18,351.60,2023-02-06 13:04:48.000,21
26,32,707.00,2023-02-07 08:23:06.000,9
45,16,346.40,2023-02-07 08:26:27.000,9
45,16,351.60,2023-02-07 08:26:35.000,9
45,16,338.90,2023-02-07 08:26:43.000,9
45,16,339.90,2023-02-07 08:26:47.000,9
45,16,350.00,2023-02-07 08:27:09.000,9
45,32,678.30,2023-02-07 08:27:37.000,9
45,16,338.70,2023-02-07 08:27:49.000,9
8,36,725.90,2023-02-07 08:23:56.000,21
8,18,354.90,2023-02-07 08:24:26.000,21
8,18,355.20,2023-02-07 08:24:32.000,21
8,18,354.90,2023-02-07 08:24:38.000,21
8,18,354.00,2023-02-07 08:24:42.000,21
8,18,353.30,2023-02-07 08:24:46.000,21
5,32,495.90,2023-02-07 08:31:03.000,22
2,18,356.80,2023-02-07 08:31:09.000,22
8,32,629.70,2023-02-07 08:31:13.000,22
16,14,294.60,2023-02-07 12:30:29.000,167
16,14,279.10,2023-02-07 12:30:40.000,167
14,14,288.00,2023-02-07 12:30:46.000,167
14,14,292.90,2023-02-07 12:30:54.000,167
14,14,286.10,2023-02-07 12:31:00.000,167
5,14,271.30,2023-02-07 13:08:31.000,4
5,16,332.10,2023-02-07 13:08:59.000,1
5,16,337.70,2023-02-07 13:09:03.000,1
165,16,315.20,2023-02-07 13:09:41.000,170
6,36,733.90,2023-02-07 13:10:16.000,82
165,16,279.50,2023-02-07 13:10:18.000,82
26,16,339.40,2023-02-08 08:20:21.000,9
45,16,336.40,2023-02-08 08:21:09.000,9
45,16,336.40,2023-02-08 08:21:12.000,9
11,18,371.90,2023-02-08 08:22:00.000,25
11,18,361.70,2023-02-08 08:22:04.000,25
8,18,349.30,2023-02-08 08:22:42.000,15
22,18,355.00,2023-02-08 08:22:44.000,15
8,18,350.80,2023-02-08 08:23:11.000,22
8,18,350.30,2023-02-08 08:23:14.000,22
8,18,350.90,2023-02-08 08:23:17.000,22
8,18,348.00,2023-02-08 08:23:20.000,22
45,16,325.10,2023-02-08 08:26:09.000,2
45,16,327.50,2023-02-08 08:26:13.000,2
45,16,326.50,2023-02-08 08:26:16.000,2
45,16,324.80,2023-02-08 08:26:21.000,2
45,30,617.00,2023-02-08 08:26:27.000,2
45,63,1280.80,2023-02-08 08:28:43.000,2
32,28,558.10,2023-02-08 13:24:25.000,110
32,28,545.10,2023-02-08 13:24:29.000,110
32,28,548.20,2023-02-08 13:24:34.000,110
8,18,373.20,2023-02-08 13:50:36.000,153
8,18,376.30,2023-02-08 13:50:38.000,153
8,18,379.30,2023-02-08 13:50:43.000,153
45,87,1772.90,2023-02-08 13:51:31.000,2
6,40,880.60,2023-02-08 13:51:44.000,2
5,15,227.50,2023-02-08 14:03:29.000,1
5,15,253.20,2023-02-08 14:03:39.000,1
5,30,455.50,2023-02-08 14:03:50.000,1
5,14,261.90,2023-02-08 14:03:54.000,1
164,14,289.10,2023-02-08 14:04:10.000,1
164,14,287.20,2023-02-08 14:04:13.000,1
164,14,289.90,2023-02-08 14:04:22.000,1
5,30,508.80,2023-02-08 14:16:21.000,1
250,1,19.30,2023-02-08 15:49:51.000,145
8,36,725.10,2023-02-09 08:40:03.000,21
33,20,413.90,2023-02-09 08:40:10.000,21
5,32,522.70,2023-02-09 08:41:03.000,1
2,15,315.30,2023-02-09 08:42:45.000,2
2,30,633.90,2023-02-09 08:42:53.000,2
45,32,666.80,2023-02-09 08:44:35.000,2
45,16,327.00,2023-02-09 08:44:45.000,2
45,16,325.20,2023-02-09 08:44:49.000,2
45,16,326.30,2023-02-09 08:44:56.000,2
45,16,326.00,2023-02-09 08:45:02.000,2
45,32,653.90,2023-02-09 08:45:05.000,2
8,18,354.80,2023-02-09 08:46:55.000,15
8,36,702.90,2023-02-09 08:46:59.000,15
8,18,351.90,2023-02-09 08:47:04.000,15
8,18,346.10,2023-02-09 08:48:38.000,22
